net,length_um
net113,200.66µm
net93,163.47µm
net73,161.97µm
net86,153.62µm
net92,151.51µm
net74,151.26µm
net90,149.66µm
net28,149.34µm
net128,148.03µm
net72,147.92µm
i_clk,141.89µm
net91,140.27µm
clknet_0_i_clk,139.59µm
net67,136.9µm
net94,136.76µm
net80,136.44µm
net85,130.12µm
clknet_2_3__leaf_i_clk,129.42µm
clknet_2_0__leaf_i_clk,128.49µm
net79,123.86µm
net66,123.84µm
clknet_2_2__leaf_i_clk,119.82µm
net127,118.92µm
net109,116.59µm
_0287_,116.46µm
clknet_2_1__leaf_i_clk,116.22µm
net89,113.22µm
net120,110.49µm
net122,108.5µm
net112,108.34µm
clknet_leaf_6_i_clk,102.82µm
u_i2c_master_controller.cntrl_fsm.byte_rx_fsm.i_transaction_complete,102.74µm
net111,102.02µm
net124,101.38µm
net64,101.04µm
u_i2c_master_controller.cntrl_fsm.cntrl_fsm.o_enable_scl,99µm
net65,97.96µm
clknet_leaf_9_i_clk,97.35µm
net123,97.06µm
net88,96.73µm
net78,96.2µm
net100,96.105µm
net126,96.06µm
net61,95µm
clknet_leaf_12_i_clk,94.74µm
net110,94.54µm
net77,94.44µm
_0293_,94.12µm
net102,93.65µm
clknet_leaf_10_i_clk,93.49µm
_0288_,93.44µm
clknet_leaf_5_i_clk,92.94µm
clknet_leaf_19_i_clk,92.54µm
clknet_leaf_14_i_clk,92.47µm
net62,91.34µm
clknet_leaf_11_i_clk,90.18µm
net70,88.78µm
net83,88.32µm
u_i2c_master_controller.cntrl_fsm.cntrl_fsm.i_rw_mode,87.315µm
net69,86.84µm
clknet_leaf_4_i_clk,86.28µm
net87,85.94µm
net82,85.72µm
u_i2c_master_controller.i2cbus_cntrl_fsm.start_detect.state_next,83.48µm
net125,83.02µm
net75,82.71µm
net68,82.63µm
net118,82.33µm
clknet_leaf_13_i_clk,82.16µm
clknet_leaf_18_i_clk,81.7µm
clknet_leaf_3_i_clk,81.58µm
_0324_,81.52µm
clknet_leaf_15_i_clk,80.76µm
net84,80.72µm
net81,80.56µm
