Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_51_305,VGND,li1,146.5100,152.3200,0.000001
FILLER_51_302,VGND,li1,145.1300,152.3200,0.000001
FILLER_51_299,VGND,li1,143.7500,152.3200,0.000001
FILLER_51_296,VGND,li1,142.3700,152.3200,0.000001
FILLER_51_293,VGND,li1,140.9900,152.3200,0.000001
FILLER_51_290,VGND,li1,139.6100,152.3200,0.000001
FILLER_51_287,VGND,li1,138.2300,152.3200,0.000001
FILLER_51_284,VGND,li1,136.8500,152.3200,0.000001
FILLER_51_281,VGND,li1,135.4700,152.3200,0.000001
FILLER_51_277,VGND,li1,133.6300,152.3200,0.000001
FILLER_51_274,VGND,li1,132.2500,152.3200,0.000001
FILLER_51_271,VGND,li1,130.8700,152.3200,0.000001
FILLER_51_268,VGND,li1,129.4900,152.3200,0.000001
FILLER_51_265,VGND,li1,128.1100,152.3200,0.000001
FILLER_51_262,VGND,li1,126.7300,152.3200,0.000001
FILLER_51_259,VGND,li1,125.3500,152.3200,0.000001
FILLER_51_256,VGND,li1,123.9700,152.3200,0.000001
FILLER_51_253,VGND,li1,122.5900,152.3200,0.000001
FILLER_51_249,VGND,li1,120.7500,152.3200,0.000001
FILLER_51_246,VGND,li1,119.3700,152.3200,0.000001
FILLER_51_243,VGND,li1,117.9900,152.3200,0.000001
FILLER_51_240,VGND,li1,116.6100,152.3200,0.000001
FILLER_51_237,VGND,li1,115.2300,152.3200,0.000001
FILLER_51_234,VGND,li1,113.8500,152.3200,0.000001
FILLER_51_231,VGND,li1,112.4700,152.3200,0.000001
FILLER_51_228,VGND,li1,111.0900,152.3200,0.000001
FILLER_51_225,VGND,li1,109.7100,152.3200,0.000001
FILLER_51_221,VGND,li1,107.8700,152.3200,0.000001
FILLER_51_218,VGND,li1,106.4900,152.3200,0.000001
FILLER_51_215,VGND,li1,105.1100,152.3200,0.000001
FILLER_51_212,VGND,li1,103.7300,152.3200,0.000001
FILLER_51_209,VGND,li1,102.3500,152.3200,0.000001
FILLER_51_206,VGND,li1,100.9700,152.3200,0.000001
FILLER_51_203,VGND,li1,99.5900,152.3200,0.000001
FILLER_51_200,VGND,li1,98.2100,152.3200,0.000001
FILLER_51_197,VGND,li1,96.8300,152.3200,0.000001
FILLER_51_193,VGND,li1,94.9900,152.3200,0.000001
FILLER_51_190,VGND,li1,93.6100,152.3200,0.000001
FILLER_51_187,VGND,li1,92.2300,152.3200,0.000001
FILLER_51_184,VGND,li1,90.8500,152.3200,0.000001
FILLER_51_181,VGND,li1,89.4700,152.3200,0.000001
FILLER_51_178,VGND,li1,88.0900,152.3200,0.000001
FILLER_51_175,VGND,li1,86.7100,152.3200,0.000001
FILLER_51_172,VGND,li1,85.3300,152.3200,0.000001
FILLER_51_169,VGND,li1,83.9500,152.3200,0.000001
FILLER_51_165,VGND,li1,82.1100,152.3200,0.000001
FILLER_51_162,VGND,li1,80.7300,152.3200,0.000001
