Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_51_305,VPWR,li1,146.5100,149.6000,1.799996
FILLER_51_302,VPWR,li1,145.1300,149.6000,1.799996
FILLER_51_299,VPWR,li1,143.7500,149.6000,1.799996
FILLER_51_296,VPWR,li1,142.3700,149.6000,1.799996
FILLER_51_293,VPWR,li1,140.9900,149.6000,1.799996
FILLER_51_290,VPWR,li1,139.6100,149.6000,1.799996
FILLER_51_287,VPWR,li1,138.2300,149.6000,1.799996
FILLER_51_284,VPWR,li1,136.8500,149.6000,1.799996
FILLER_51_281,VPWR,li1,135.4700,149.6000,1.799996
FILLER_51_277,VPWR,li1,133.6300,149.6000,1.799996
FILLER_51_274,VPWR,li1,132.2500,149.6000,1.799996
FILLER_51_271,VPWR,li1,130.8700,149.6000,1.799996
FILLER_51_268,VPWR,li1,129.4900,149.6000,1.799996
FILLER_51_265,VPWR,li1,128.1100,149.6000,1.799996
FILLER_51_262,VPWR,li1,126.7300,149.6000,1.799996
FILLER_51_259,VPWR,li1,125.3500,149.6000,1.799996
FILLER_51_256,VPWR,li1,123.9700,149.6000,1.799996
FILLER_51_253,VPWR,li1,122.5900,149.6000,1.799996
FILLER_51_249,VPWR,li1,120.7500,149.6000,1.799996
FILLER_51_246,VPWR,li1,119.3700,149.6000,1.799996
FILLER_51_243,VPWR,li1,117.9900,149.6000,1.799996
FILLER_51_240,VPWR,li1,116.6100,149.6000,1.799996
FILLER_51_237,VPWR,li1,115.2300,149.6000,1.799996
FILLER_51_234,VPWR,li1,113.8500,149.6000,1.799996
FILLER_51_231,VPWR,li1,112.4700,149.6000,1.799996
FILLER_51_228,VPWR,li1,111.0900,149.6000,1.799996
FILLER_51_225,VPWR,li1,109.7100,149.6000,1.799996
FILLER_51_221,VPWR,li1,107.8700,149.6000,1.799996
FILLER_51_218,VPWR,li1,106.4900,149.6000,1.799996
FILLER_51_215,VPWR,li1,105.1100,149.6000,1.799996
FILLER_51_212,VPWR,li1,103.7300,149.6000,1.799996
FILLER_51_209,VPWR,li1,102.3500,149.6000,1.799996
FILLER_51_206,VPWR,li1,100.9700,149.6000,1.799996
FILLER_51_203,VPWR,li1,99.5900,149.6000,1.799996
FILLER_51_200,VPWR,li1,98.2100,149.6000,1.799996
FILLER_51_197,VPWR,li1,96.8300,149.6000,1.799996
FILLER_51_193,VPWR,li1,94.9900,149.6000,1.799996
FILLER_51_190,VPWR,li1,93.6100,149.6000,1.799996
FILLER_51_187,VPWR,li1,92.2300,149.6000,1.799996
FILLER_51_184,VPWR,li1,90.8500,149.6000,1.799996
FILLER_51_181,VPWR,li1,89.4700,149.6000,1.799996
FILLER_51_178,VPWR,li1,88.0900,149.6000,1.799996
FILLER_51_175,VPWR,li1,86.7100,149.6000,1.799996
FILLER_51_172,VPWR,li1,85.3300,149.6000,1.799996
