Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,475
design__inferred_latch__count,0
design__instance__count,3281
design__instance__area,20234.4
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,8
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.00045227434020489454
power__switching__total,0.00013539122301153839
power__leakage__total,2.1708487452087866E-8
power__total,0.0005876873037777841
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.2655413464274521
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.2657236450532513
timing__hold__ws__corner:nom_tt_025C_1v80,0.3114754098360656
timing__setup__ws__corner:nom_tt_025C_1v80,23.211106582634624
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.311475
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,28.796698
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,92
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,8
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.2760412809798029
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.27621791746801644
timing__hold__ws__corner:nom_ss_100C_1v60,0.8392312637924398
timing__setup__ws__corner:nom_ss_100C_1v60,20.744594185162335
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.839231
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,26.057350
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,8
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.26161873408148306
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.26180611197776354
timing__hold__ws__corner:nom_ff_n40C_1v95,0.10916534651893446
timing__setup__ws__corner:nom_ff_n40C_1v95,24.10893597443556
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.109165
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,29.853880
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,125
design__max_fanout_violation__count,8
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2606569756036255
clock__skew__worst_setup,0.2607746592475641
timing__hold__ws,0.10771067675977848
timing__setup__ws,20.656678729980317
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.107711
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,25.963499
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 154.21 164.93
design__core__bbox,5.52 10.88 148.58 152.32
design__io,71
design__die__area,25433.9
design__core__area,20234.4
design__instance__count__stdcell,1352
design__instance__area__stdcell,13955.9
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.689711
design__instance__utilization__stdcell,0.689711
design__rows,52
design__rows:unithd,52
design__sites,16172
design__sites:unithd,16172
design__instance__count__class:buffer,7
design__instance__area__class:buffer,33.7824
design__instance__count__class:inverter,43
design__instance__area__class:inverter,161.405
design__instance__count__class:sequential_cell,211
design__instance__area__class:sequential_cell,5504.03
design__instance__count__class:multi_input_combinational_cell,497
design__instance__area__class:multi_input_combinational_cell,4549.36
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,1929
design__instance__area__class:fill_cell,6278.52
design__instance__count__class:tap_cell,270
design__instance__area__class:tap_cell,337.824
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
floorplan__design__io,69
design__io__hpwl,2302659
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,1947.12
design__instance__displacement__mean,1.337
design__instance__displacement__max,22.26
route__wirelength__estimated,21863.7
design__violations,0
design__instance__count__class:timing_repair_buffer,286
design__instance__area__class:timing_repair_buffer,2837.72
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,34
design__instance__area__class:clock_buffer,511.741
design__instance__count__class:clock_inverter,4
design__instance__area__class:clock_inverter,20.0192
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,158
global_route__vias,7479
global_route__wirelength,40406
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,1117
route__net__special,2
route__drc_errors__iter:0,194
route__wirelength__iter:0,23774
route__drc_errors__iter:1,42
route__wirelength__iter:1,23589
route__drc_errors__iter:2,19
route__wirelength__iter:2,23463
route__drc_errors__iter:3,7
route__wirelength__iter:3,23451
route__drc_errors__iter:4,0
route__wirelength__iter:4,23445
route__drc_errors,0
route__wirelength,23445
route__vias,7160
route__vias__singlecut,7160
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,3
design__critical_disconnected_pin__count,0
route__wirelength__max,200.66
timing__unannotated_net__count__corner:nom_tt_025C_1v80,19
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,19
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,19
